"fixture_path","sha256","event_count","fixture_group","data_origin","synthetic","biological_material","human_subject_information","deidentification_status","deidentification_basis","redistribution_status","redistribution_basis","experiment","biological_replicate","technical_replicate","condition","population","source_archive_path","source_archive_sha256_match","source_fcs","source_workspace","preparation_code","gate_path","mapping_approval","gate_approval","compensation","transforms","acquisition_software","flowjo_version","export_software","export_date","event_identity_preserved","original_hash_publication_status","provenance_status","evidence","notes"
"inst/extdata/example/rep2_2h_g1.csv","d295c28ef778de6d495812ddccc547ec5cbc6384416d8a831013953d05f1613a",3661,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",2,"not applicable","2h Auxin","g1","publication_bundle/data/derived/analysis/rep2_2h_g1.csv","yes","publication_bundle/data/raw/rep02/rep02_02h.fcs","publication_bundle/data/raw/rep02/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → G1","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep2_2h_single_cells.csv","3d8af827e2db16e4eef7d10928a47c435b44921c1302ce164bc1f1b98a7761fa",18569,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",2,"not applicable","2h Auxin","single_cells","publication_bundle/data/derived/analysis/rep2_2h_single_cells.csv","yes","publication_bundle/data/raw/rep02/rep02_02h.fcs","publication_bundle/data/raw/rep02/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep2_4h_edu_positive.csv","512548797ab47bf325650d9395c4aa7fbb61f63cb1ba5d294739b6f5f9f500cc",8325,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",2,"not applicable","4h Auxin","edu_positive","publication_bundle/data/derived/analysis/rep2_4h_edu_positive.csv","yes","publication_bundle/data/raw/rep02/rep02_04h.fcs","publication_bundle/data/raw/rep02/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → S","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep2_4h_g1.csv","9dd449f8ad9f3d28eb9e16fd2549693c082fa15a89d25766c9895bb90b997630",3647,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",2,"not applicable","4h Auxin","g1","publication_bundle/data/derived/analysis/rep2_4h_g1.csv","yes","publication_bundle/data/raw/rep02/rep02_04h.fcs","publication_bundle/data/raw/rep02/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → G1","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep2_4h_single_cells.csv","a8ae26c3ab6c99b47b329d705247030a945e18324d91aa4def3f814b40598dd6",17902,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",2,"not applicable","4h Auxin","single_cells","publication_bundle/data/derived/analysis/rep2_4h_single_cells.csv","yes","publication_bundle/data/raw/rep02/rep02_04h.fcs","publication_bundle/data/raw/rep02/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep2_NT_edu_positive.csv","56825f4f416b39abd5bb79bb4c0b9ab83c1452a9595362e5f4e43e757510e5db",9349,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",2,"not applicable","Untreated","edu_positive","publication_bundle/data/derived/analysis/rep2_NT_edu_positive.csv","yes","publication_bundle/data/raw/rep02/rep02_NT.fcs","publication_bundle/data/raw/rep02/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → S","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep2_NT_g1.csv","ae32bdc5429b5098be5ec88a010767e45e451f4520d3b83ad3e3d10969aebe56",2420,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",2,"not applicable","Untreated","g1","publication_bundle/data/derived/analysis/rep2_NT_g1.csv","yes","publication_bundle/data/raw/rep02/rep02_NT.fcs","publication_bundle/data/raw/rep02/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells → G1","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example/rep2_NT_single_cells.csv","9e70fce8e4fd1c15722382b3fecc398d0b903b2d41e6000bd193e4887d15516d",18223,"EdU","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","EdU",2,"not applicable","Untreated","single_cells","publication_bundle/data/derived/analysis/rep2_NT_single_cells.csv","yes","publication_bundle/data/raw/rep02/rep02_NT.fcs","publication_bundle/data/raw/rep02/workspace.wsp","publication_bundle/code/export_gates.py and publication_bundle/code/prepare_data.py (documented reconstruction)","All Events → Cells → Single Cells","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","saved transformations reapplied for gating; exported columns are raw acquisition measurements","CytoFLEX instrument software; product name and version unknown","10.9.0 in archived reconstruction workspace; original export context not established","FlowKit 1.3.2 (documented reconstruction)","unknown","no","not published by data-owner direction","experimental lineage established by exact hash match","local SHA-256 and byte comparison to same-named publication archive file; data-owner attestations for biological and authorization fields","no formal de-identification review; exact CSV export date unknown"
"inst/extdata/example_poi/rep1_2h_single_cells.csv","afbc7ba196c83da8fa93f44e0576c4f27bd5dc9bc1b6755c400e68b3a3a2aa76",9725,"POI","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","Total MTBP",1,"not applicable","2h Auxin","single_cells","restricted—not publicly documented","not established","restricted—not publicly documented","restricted—not publicly documented","Python with FlowKit; exact preparation code not established","All Events → Cells → Single Cells","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","FlowJo scale values","CytoFLEX instrument software; product name and version unknown","unknown","Python with FlowKit; version unknown","unknown","no","not published by data-owner direction","exact provenance unverified","no fixture hash match in local publication archive; source identity and availability are data-owner attestations; exact derivation not verified","source identity restricted; no controlled source comparison planned; no formal de-identification review; exact FlowKit version, FlowJo version, and CSV export date unknown"
"inst/extdata/example_poi/rep1_4h_single_cells.csv","ae0547c371cbf4d506ffd81fa089662c68203db226829bf2764f1de226d18bea",14503,"POI","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","Total MTBP",1,"not applicable","4h Auxin","single_cells","restricted—not publicly documented","not established","restricted—not publicly documented","restricted—not publicly documented","Python with FlowKit; exact preparation code not established","All Events → Cells → Single Cells","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","FlowJo scale values","CytoFLEX instrument software; product name and version unknown","unknown","Python with FlowKit; version unknown","unknown","no","not published by data-owner direction","exact provenance unverified","no fixture hash match in local publication archive; source identity and availability are data-owner attestations; exact derivation not verified","source identity restricted; no controlled source comparison planned; no formal de-identification review; exact FlowKit version, FlowJo version, and CSV export date unknown"
"inst/extdata/example_poi/rep1_NT_single_cells.csv","8e832ff161ad8e667df028bd74f00da830062a7ca16a164e7946d848e151ae6d",9818,"POI","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","Total MTBP",1,"not applicable","Untreated","single_cells","restricted—not publicly documented","not established","restricted—not publicly documented","restricted—not publicly documented","Python with FlowKit; exact preparation code not established","All Events → Cells → Single Cells","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","FlowJo scale values","CytoFLEX instrument software; product name and version unknown","unknown","Python with FlowKit; version unknown","unknown","no","not published by data-owner direction","exact provenance unverified","no fixture hash match in local publication archive; source identity and availability are data-owner attestations; exact derivation not verified","source identity restricted; no controlled source comparison planned; no formal de-identification review; exact FlowKit version, FlowJo version, and CSV export date unknown"
"inst/extdata/example_poi/rep1_bg_single_cells.csv","6f38349d9545f92964a083466afcfea67e5d2d88946c98fdf1f1225138ea342a",9837,"POI","genuine derived experimental data","no","HCT116 human cell line","none; individual not identifiable from fixture data","no formal or informal de-identification review","no identifiers or metadata deliberately removed; data owner reviewed current filenames and column labels and attested no sensitive or identifying information","authorized","Sansam Lab/OMRF data-owner authorization for public Git and installed R package redistribution under CC BY-NC 4.0","Total MTBP",1,"not applicable","Background control","single_cells","restricted—not publicly documented","not established","restricted—not publicly documented","restricted—not publicly documented","Python with FlowKit; exact preparation code not established","All Events → Cells → Single Cells","Christopher Sansam, PI, Sansam Lab","Christopher Sansam, PI, Sansam Lab","none applied","FlowJo scale values","CytoFLEX instrument software; product name and version unknown","unknown","Python with FlowKit; version unknown","unknown","no","not published by data-owner direction","exact provenance unverified","no fixture hash match in local publication archive; source identity and availability are data-owner attestations; exact derivation not verified","source identity restricted; no controlled source comparison planned; no formal de-identification review; exact FlowKit version, FlowJo version, and CSV export date unknown"
